file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Sowmya_git_projects\mongo-java-driver\driver-sync\src\test\functional\com\mongodb\client\AbstractClientEncryptionCustomEndpointTest.java,com.mongodb.client.AbstractClientEncryptionCustomEndpointTest$Anonymous1$Anonymous3,anonymous,0,0,0,0,1,1,0,2,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,-1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-sync\src\test\functional\com\mongodb\client\AbstractClientEncryptionCustomEndpointTest.java,com.mongodb.client.AbstractClientEncryptionCustomEndpointTest$Anonymous1$Anonymous4,anonymous,0,0,0,0,1,1,0,2,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,-1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\event\ClusterListenerMulticaster.java,com.mongodb.internal.event.ClusterListenerMulticaster,class,6,7,1,6,13,1,0,9,0,0.125,1,1,4,0,3,0,0,1,4,0,0,0,2,1,0,2,0,0,2,0,4,44,0,3,0,3,0,5,0,2,0,2,3,0,0,0,35,16,3
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\test\unit\com\mongodb\internal\connection\LoadBalancedClusterTest.java,com.mongodb.internal.connection.LoadBalancedClusterTest,class,28,29,1,28,32,1,0,67,0,0.16666667,0.74285716,0.74285716,18,0,13,3,0,2,15,0,0,0,1,0,0,1,0,0,0,0,12,318,3,10,1,1,0,39,42,127,0,124,4,0,1,17,115,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-sync\src\test\functional\com\mongodb\client\AbstractClientEncryptionCustomEndpointTest.java,com.mongodb.client.AbstractClientEncryptionCustomEndpointTest$Anonymous1$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\test\unit\com\mongodb\internal\connection\TestServerListener.java,com.mongodb.internal.connection.TestServerListener,class,8,11,3,8,11,1,0,15,12,0.675,0.23809524,0.23809524,8,0,7,1,0,0,7,0,0,0,5,0,0,5,0,0,3,0,1,53,4,1,0,1,0,2,2,9,0,7,3,0,0,2,43,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\operation\ExplainHelper.java,com.mongodb.internal.operation.ExplainHelper,class,6,7,1,6,7,1,0,3,3,0,NaN,NaN,3,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,23,4,0,1,0,0,6,0,1,0,1,1,0,0,0,16,16,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\test\functional\com\mongodb\internal\binding\OperationContextBinding.java,com.mongodb.internal.binding.OperationContextBinding$SessionBindingConnectionSource,innerclass,6,6,0,6,8,1,0,6,0,0.125,0.75,0.75,8,0,7,0,0,1,8,0,0,0,1,0,0,1,0,0,0,0,0,28,7,0,0,0,0,0,0,2,0,1,0,0,0,0,16,2,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\client\model\CreateEncryptedCollectionParams.java,com.mongodb.client.model.CreateEncryptedCollectionParams,class,4,5,1,4,5,1,0,1,0,0.3,0.8,1,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,1,0,1,21,4,0,0,0,0,4,0,3,2,2,0,0,0,0,35,17,0
E:\Sowmya_git_projects\mongo-java-driver\driver-reactive-streams\src\examples\reactivestreams\tour\ClientSideEncryptionExplicitEncryptionAndDecryptionTour.java,reactivestreams.tour.ClientSideEncryptionExplicitEncryptionAndDecryptionTour$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-1,0
