file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Sowmya_git_projects\cloudstack\plugins\network-elements\tungsten\src\main\java\org\apache\cloudstack\network\tungsten\agent\api\CreateTungstenRoutingLogicalRouterCommand.java,org.apache.cloudstack.network.tungsten.agent.api.CreateTungstenRoutingLogicalRouterCommand,class,2,7,5,2,10,3,0,7,0,0.33333334,0.8,1,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,5,29,8,0,3,0,0,0,0,4,0,4,1,0,0,0,24,1,0
E:\Sowmya_git_projects\cloudstack\core\src\main\java\com\cloud\storage\template\FtpTemplateUploader.java,com.cloud.storage.template.FtpTemplateUploader,class,7,8,1,7,37,1,0,17,32,0.79020983,0.2948718,0.7051282,13,0,13,0,0,0,13,0,0,0,11,1,4,6,1,0,1,0,0,148,13,1,7,4,2,6,13,36,5,18,3,0,0,0,81,1,5
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\org\apache\cloudstack\resourcedetail\dao\UserIpAddressDetailsDaoImpl.java,org.apache.cloudstack.resourcedetail.dao.UserIpAddressDetailsDaoImpl,class,4,4,0,4,1,4,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
E:\Sowmya_git_projects\cloudstack\api\src\main\java\org\apache\cloudstack\acl\RoleType.java,org.apache.cloudstack.acl.RoleType,enum,4,14,10,4,21,1,0,16,16,0.75555557,0.22222222,0.46666667,9,5,8,0,0,1,10,0,0,0,5,2,0,5,0,0,0,0,6,63,12,2,7,0,0,3,10,7,0,7,2,0,0,0,54,1,2
E:\Sowmya_git_projects\cloudstack\engine\components-api\src\main\java\com\cloud\vm\VmWork.java,com.cloud.vm.VmWork,class,4,35,31,4,15,1,20,15,8,0.75,0.35714287,0.5714286,8,0,7,0,1,0,8,0,0,0,7,2,0,2,1,4,2,0,0,55,8,1,1,1,1,0,1,14,0,10,3,0,0,0,43,1,0
E:\Sowmya_git_projects\cloudstack\services\console-proxy\rdpconsole\src\main\java\rdpclient\RdpClient.java,rdpclient.RdpClient,class,43,46,3,43,15,2,0,10,2,0.5833333,0.33333334,0.5,4,0,3,0,1,0,4,0,0,0,3,1,0,1,0,2,1,0,1,86,2,4,2,1,2,136,0,16,9,12,3,0,0,0,143,1,0
E:\Sowmya_git_projects\cloudstack\api\src\main\java\com\cloud\org\RunningIn.java,com.cloud.org.RunningIn,interface,0,0,0,0,4,1,0,0,6,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
E:\Sowmya_git_projects\cloudstack\core\src\main\java\com\cloud\agent\api\GetHostStatsCommand.java,com.cloud.agent.api.GetHostStatsCommand,class,2,3,1,2,6,2,0,0,9,0.6666667,0.2,0.4,6,0,5,0,1,0,6,0,0,0,3,0,0,0,0,3,0,0,0,24,4,0,0,0,0,0,0,3,0,3,0,0,0,0,13,1,0
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\com\cloud\vm\dao\InstanceGroupVMMapDaoImpl.java,com.cloud.vm.dao.InstanceGroupVMMapDaoImpl,class,6,6,0,6,4,2,0,10,0,0.5,0.5,1,4,0,3,0,1,0,4,0,0,0,3,0,0,3,0,0,0,0,0,33,3,0,0,0,0,8,0,6,0,6,0,0,0,0,21,1,0
E:\Sowmya_git_projects\cloudstack\plugins\hypervisors\kvm\src\main\java\com\cloud\hypervisor\kvm\resource\wrapper\LibvirtCreateStoragePoolCommandWrapper.java,com.cloud.hypervisor.kvm.resource.wrapper.LibvirtCreateStoragePoolCommandWrapper,class,5,5,0,5,1,2,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,17,0
